Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton)
2020,Jawa Tengah,Kab. Tegal,147.69265,53907.85494999999
2020,Jawa Tengah,Kab. Brebes,148.40699999999998,54168.528
2020,Jawa Tengah,Kota Magelang,19.26615,7032.45865
2020,Jawa Tengah,Kota Salatiga,21.727783000000002,7930.461683222224
2020,Jawa Tengah,Kota Semarang,219.59928,80153.85587999999
2021,Jawa Tengah,Kab. Cilacap,154.93747800000003,56551.964368
2021,Jawa Tengah,Kab. Banyumas,160.569,58607.325
2021,Jawa Tengah,Kab. Purbalingga,92.797785,33871.358510000005
2021,Jawa Tengah,Kab. Purworejo,25.993799999999997,9487.8162
2021,Jawa Tengah,Kab. Wonosobo,73.35440869565218,26774.654208173914
2021,Jawa Tengah,Kab. Magelang,122.01534999999998,44535.27697
2021,Jawa Tengah,Kab. Boyolali,58.77446217391305,21452.49480226087
2021,Jawa Tengah,Kab. Klaten,88.84015,32426.553914999997
2021,Jawa Tengah,Kab. Sukoharjo,57.260385,20900.249207999997
2021,Jawa Tengah,Kab. Wonogiri,109.8425,40092.4025
2021,Jawa Tengah,Kab. Karanganyar,72.368,26414.378000000004
2021,Jawa Tengah,Kab. Sragen,66.23720999999999,24176.606509999998
2021,Jawa Tengah,Kab. Blora,90.74000000000001,33120.632000000005
2021,Jawa Tengah,Kab. Rembang,84.62987000000001,30890.06102
2021,Jawa Tengah,Kab. Pati,133.79399573913045,48835.10347904348
2021,Jawa Tengah,Kab. Jepara,86.81736,31688.1628
2021,Jawa Tengah,Kab. Demak,166.65075900000002,60827.829252
2021,Jawa Tengah,Kab. Semarang,157.96499999999997,57656.7
2021,Jawa Tengah,Kab. Temanggung,74.57534700000001,27220.137336
2021,Jawa Tengah,Kab. Batang,51.86560000000001,18930.7808
2021,Jawa Tengah,Kab. Pekalongan,34.8777,12730.308299999999
2021,Jawa Tengah,Kab. Pemalang,118.9432643478261,43413.96614095653
2021,Jawa Tengah,Kab. Tegal,221.3442,80790.4317
2021,Jawa Tengah,Kab. Brebes,108.15090000000001,39475.1786
2021,Jawa Tengah,Kota Magelang,17.3462,6331.30495
2021,Jawa Tengah,Kota Salatiga,22.681264000000002,8278.992768347827
2021,Jawa Tengah,Kota Semarang,202.98408,74088.957
2021,Jawa Tengah,Kota Tegal,28.219800000000003,10300.292800000001
2022,Jawa Tengah,Kab. Cilacap,156.12792800000003,56986.55907600001
