Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton),Land Area (km2),Population,GDP,Gini,HDI,highest_restriction,start_date,Years Since Start,Plastic Growth Rate,log_GDP,log_Gini,squareroot_landarea
2020,Bali,KARANGASEM,48.85922857142857,17833.618428571426,839.32,492402.0,16399774.86,0.327,67.35,Ban,2019,1,71.73951313163182,7.214837885990941,-0.4854522473397139,28.97102000275448
2020,Bali,BULELENG,34.80542,12703.811348,1322.75,791813.0,33302721.44,0.285,72.55,Ban,2019,1,2.005987030335188,7.522479724740009,-0.5451551399914898,36.36963018783666
2020,Bali,KOTA DENPASAR,99.489,36313.2825,125.87,725314.0,49607461.84,0.33,83.93,Ban,2019,1,1.7999340308591627,7.695547006978104,-0.4814860601221125,11.21918000568669
2021,Bali,JEMBRANA,35.96333,13126.45412,849.13,321900.0,13510634.96,0.317,72.75,Ban,2019,2,-1.197032636605777,7.13067576006157,-0.4989407377822485,29.139835277502858
2021,Bali,TABANAN,96.9444,35383.9416,849.31,465300.0,22021142.15,0.311,76.45,Ban,2019,2,0.0,7.3428398403659205,-0.5072396109731625,29.142923669391855
2021,Bali,BADUNG,90.82604,33151.67216,398.75,549300.0,44882080.18,0.332,81.83,Ban,2018,3,16.966765035889118,7.652072977253442,-0.4788619162959637,19.96872554771586
2021,Bali,GIANYAR,66.13888399999999,24140.381804,364.36,519500.0,25788227.04,0.333,77.7,Ban,2019,2,-11.764705515123774,7.411421485092082,-0.4775557664936801,19.08821626030049
2021,Bali,BANGLI,4.2142,1538.23848,526.76,262500.0,6825455.95,0.285,69.37,Ban,2019,2,24.3445573077542,6.834131668160411,-0.5451551399914898,22.95125268912353
2021,Bali,BULELENG,34.52038,12599.9387,1322.75,806600.0,33363288.29,0.282,72.56,Ban,2019,2,-0.8176494845096416,7.5232688481954195,-0.549750891680639,36.36963018783666
2021,Bali,KOTA DENPASAR,131.18983,47884.16327999999,125.87,726600.0,49687176.87,0.375,84.03,Ban,2019,2,31.864045284256505,7.696244321667821,-0.42596873227228116,11.21918000568669
2022,Bali,JEMBRANA,31.023776,11323.643967999998,849.13,327854.0,14532255.74,0.326,73.58,Ban,2019,3,-13.73417478565797,7.162333032012967,-0.48678239993206096,29.139835277502858
2022,Bali,BADUNG,92.96172,33930.780719999995,398.75,549527.0,55290000.16,0.316,82.13,Ban,2018,4,2.350133520384068,7.742646591195512,-0.5003129173815962,19.96872554771586
2022,Bali,GIANYAR,75.32282285714285,27492.83034285714,364.36,523972.0,27944205.76,0.307,78.39,Ban,2019,3,13.887305371042835,7.446291770457518,-0.5128616245228135,19.08821626030049
2022,Bali,KLUNGKUNG,14.4382,5270.097000000001,313.96,214012.0,9210208.54,0.351,72.55,Ban,2019,3,,6.9642694637197495,-0.4546928835341759,17.718916445426338
2022,Bali,BANGLI,6.1534,2245.98275,526.76,267133.0,7337505.92,0.288,70.26,Ban,2019,3,46.010048454905395,6.865548464650533,-0.5406075122407692,22.95125268912353
2022,Bali,KARANGASEM,24.9232,9096.9464,839.32,511277.0,17669491.36,0.297,68.28,Ban,2019,3,-48.98990108801651,7.247224047937738,-0.5272435506827877,28.97102000275448
2022,Bali,BULELENG,57.667064,21048.371123,1322.75,825141.0,35805284.19,0.281,73.45,Ban,2019,3,67.05137718646203,7.553947125113378,-0.5512936800949201,36.36963018783666
2022,Bali,KOTA DENPASAR,71.14868100000001,25969.268565,125.87,726808.0,54650427.19,0.368,84.37,Ban,2019,3,-45.76647729407709,7.7375935610805,-0.43415218132648237,11.21918000568669
2019,Banten,PANDEGLANG,69.649272,25422.171348,2746.89,1211909.0,27931123.75,0.31,64.91,Fee,2020,-1,,7.446088408977278,-0.5086383061657274,52.410781333614935
2019,Banten,LEBAK,76.6455,27975.6075,3426.56,1302608.0,28725281.3,0.297,63.88,Fee,2020,-1,,7.458264290326017,-0.5272435506827877,58.53682601576549
2019,Banten,TANGERANG,615.917325,224809.90002,1011.86,3800787.0,140089287.6,0.325,71.93,Fee,2020,-1,,8.146404926762708,-0.4881166390211256,31.809746933919484
2019,Banten,KOTA TANGERANG,173.72859900000003,63410.778473,153.93,2229901.0,171732446.3,0.328,78.43,Ban,2019,0,,8.234852356417749,-0.4841261562883209,12.406852945046138
2019,Banten,KOTA CILEGON,52.89883199999999,19308.1308,175.5,437205.0,103931063.6,0.315,73.01,Fee,2020,-1,,8.01674537175126,-0.5016894462103995,13.24764129949177
2019,Banten,KOTA TANGERANG SELATAN,82.5008,30112.9248,147.19,1747906.0,82769481.67,0.331,81.48,Fee,2020,-1,,7.9178702355109944,-0.48017200622428124,12.132188590687173
2020,Banten,LEBAK,77.139,28155.9315,3426.56,1386793.0,29055011.56,0.314,63.91,Ban,2020,0,0.6445758148415637,7.4632210525658165,-0.5030703519267851,58.53682601576549
2020,Banten,SERANG,227.395168,82999.31039399999,1734.28,1622630.0,75880724.65,0.303,66.7,Fee,2020,0,,7.880131469686229,-0.518557371497695,41.6446875363473
2020,Banten,KOTA CILEGON,154.815426,56507.25779999999,175.5,434896.0,102731768.6,0.373,73.05,Fee,2020,0,192.66042573111218,8.011704764864936,-0.4282911681913124,13.24764129949177
2020,Banten,KOTA SERANG,104.35,38088.012,266.71,692101.0,31666094.97,0.352,72.16,Fee,2020,0,,7.5005945099286935,-0.453457336521869,16.331258371601376
2020,Banten,KOTA TANGERANG SELATAN,185.956272,67873.94721900001,147.19,1354350.0,82531471.53,0.368,81.36,Fee,2020,0,125.39805638208881,7.916619588616696,-0.43415218132648237,12.132188590687173
2021,Banten,SERANG,233.000768,85045.354394,1734.28,1647600.9,80231264.41,0.264,66.82,Fee,2020,1,2.465133734590541,7.904343636549483,-0.5783960731301689,41.6446875363473
2021,Banten,KOTA CILEGON,43.53348999999999,15889.577704,175.5,441450.9,110497918.3,0.363,73.35,Fee,2020,1,-71.88046576204587,8.043354096307654,-0.4400933749638875,13.24764129949177
2021,Banten,KOTA TANGERANG SELATAN,159.973814,58390.185854,147.19,1365361.8,88065801.67,0.37,81.6,Fee,2020,1,-13.97260915797337,7.944807292868565,-0.431798275933005,12.132188590687173
2022,Banten,LEBAK,88.7205,32382.786,3426.56,1433484.0,33469202.33,0.312,64.71,Ban,2020,2,15.012305666392178,7.524645361960182,-0.5058454059815573,58.53682601576549
2022,Banten,TANGERANG,428.81742,156518.56848000005,1011.86,3352147.2,160168176.8,0.282,72.97,Fee,2020,2,-30.377368405005512,8.204576232016318,-0.549750891680639,31.809746933919484
2022,Banten,SERANG,201.9334213333333,73705.76456649999,1734.28,1678524.0,87983132.91,0.284,67.75,Fee,2020,2,-13.333579368680981,7.944399422306685,-0.5466816599529624,41.6446875363473
2022,Banten,KOTA TANGERANG,271.608798,99137.146392,153.93,1930915.2,182210783.9,0.383,78.9,Ban,2019,3,56.341159625113434,8.260574076531988,-0.41680122603137726,12.406852945046138
2022,Banten,KOTA CILEGON,36.457600000000006,13307.0528,175.5,450873.6,120746796.6,0.318,73.95,Fee,2020,2,-16.252948644128416,8.081875617788787,-0.4975728800155673,13.24764129949177
2022,Banten,KOTA SERANG,117.258415,42799.53601,266.71,720417.6,36723840.08,0.354,72.98,Fee,2020,2,12.370096948089593,7.56494808751714,-0.4509967379742122,16.331258371601376
2022,Banten,KOTA TANGERANG SELATAN,168.848568,61629.637048,147.19,1378350.0,96136882.58,0.359,81.95,Fee,2020,2,5.54793780259577,7.982890035202088,-0.44490555142168087,12.132188590687173
2019,Bengkulu,BENGKULU SELATAN,5.0688,1850.2168,1219.22,168936.0,5707513.37,0.32,70.27,Fee,2020,-1,,6.756446937509697,-0.494850021680094,34.917330940379735
2019,Bengkulu,BENGKULU UTARA,11.2896,4120.72227,4481.99,285852.0,8250039.75,0.3,68.8,Fee,2020,-1,,6.91645604105466,-0.5228787452803376,66.94766612810338
2019,Bengkulu,LEBONG,4.5066,1644.8481,1666.62,107119.0,3346031.32,0.31,66.84,Fee,2020,-1,,6.524530001790605,-0.5086383061657274,40.82425749477876
2019,Bengkulu,KEPAHIANG,5.772899999999999,2107.23135,738.97,151682.0,4318930.18,0.27,67.67,Fee,2020,-1,,6.635376183282085,-0.5686362358410126,27.184002648616705
2019,Bengkulu,BENGKULU TENGAH,9.847,3594.40612,1132.38,114043.0,4606570.36,0.26,67.3,Fee,2020,-1,,6.6633777088920825,-0.585026652029182,33.65085437251185
2020,Bengkulu,LEBONG,7.756200000000001,2830.8546,1666.62,106290.0,3400862.2,0.28,67.01,Fee,2020,0,72.10431771784886,6.531589035051793,-0.5528419686577808,40.82425749477876
2020,Bengkulu,KEPAHIANG,10.1088,3689.7912,738.97,149740.0,4409812.3,0.31,68.17,Fee,2020,0,75.10138125080572,6.644420104477117,-0.5086383061657274,27.184002648616705
2020,Bengkulu,BENGKULU TENGAH,10.4616,3818.682,1132.38,116710.0,4672104.07,0.26,67.61,Fee,2020,0,6.2395809630994,6.669512508017732,-0.585026652029182,33.65085437251185
2021,Bengkulu,SELUMA,8.5408,3117.2896,2432.16,213662.0,5053600.65,0.25,67.03,Fee,2020,1,,6.703600919745777,-0.6020599913279624,49.31693421128284
2022,Bengkulu,BENGKULU UTARA,11.945430000000002,4360.08636,4481.99,302830.0,12318650.39,0.28,69.77,Fee,2020,2,5.808789680941051,7.090563129883428,-0.5528419686577808,66.94766612810338
2022,Bengkulu,SELUMA,9.4725,3457.5444,2432.16,213760.0,5436499.7,0.29,67.76,Fee,2020,2,10.915084694088106,6.735319368402374,-0.5376020021010439,49.31693421128284
2022,Bengkulu,LEBONG,10.361301999999998,3782.105424,1666.62,107250.0,3888916.74,0.27,68.12,Fee,2020,2,33.60295594129066,6.589828645192808,-0.5686362358410126,40.82425749477876
2019,D.I. Yogyakarta,KULON PROGO,29.143128,10637.518962,586.27,430220.0,11995771.6,0.359,74.44,Ban,2019,0,,7.079028188180856,-0.44490555142168087,24.213013030186886
2019,D.I. Yogyakarta,BANTUL,34.46704,12580.4541,506.86,1018402.0,26310972.65,0.422,80.01,Ban,2019,0,,7.420136903149173,-0.37468754903832613,22.51355147461191
2019,D.I. Yogyakarta,GUNUNGKIDUL,41.13638466666666,15014.901278666664,1485.36,742731.0,18844736.16,0.325,69.96,Ban,2019,0,,7.275190061389856,-0.4881166390211256,38.54036844660414
2019,D.I. Yogyakarta,SLEMAN,79.72298399999998,29099.04538566666,574.82,1219640.0,47467978.09,0.417,83.85,Ban,2019,0,,7.676400733233903,-0.3798639450262425,23.97540406333124
2019,D.I. Yogyakarta,KOTA YOGYAKARTA,39.05548399999999,14255.355243999998,32.5,431939.0,36492640.29,0.371,86.65,Ban,2019,0,,7.5622052862721665,-0.43062609038495414,5.70087712549569
2020,D.I. Yogyakarta,KULON PROGO,30.059232,10971.493974,586.27,436395.0,11738121.61,0.379,74.46,Ban,2019,1,3.1395949863219696,7.0695986046049155,-0.42136079003192767,24.213013030186886
2020,D.I. Yogyakarta,BANTUL,127.997697,46718.930703,506.86,98577.0,26137015.43,0.418,80.01,Ban,2019,1,271.3612428584752,7.417255994251252,-0.3788237182249648,22.51355147461191
2020,D.I. Yogyakarta,GUNUNGKIDUL,62.937105333333335,22972.22838133333,1485.36,747161.0,18936171.51,0.352,69.98,Ban,2019,1,52.99619994153757,7.277292178460806,-0.453457336521869,38.54036844660414
2020,D.I. Yogyakarta,SLEMAN,122.46687666666666,44700.116879333335,574.82,1125804.0,45654719.61,0.42,83.84,Ban,2019,1,53.613688307972154,7.659485679890712,-0.37675070960209955,23.97540406333124
2020,D.I. Yogyakarta,KOTA YOGYAKARTA,38.929241,14209.271154,32.5,373589.0,35724046.2,0.421,86.61,Ban,2019,1,-0.3232756336913778,7.552960642344559,-0.3757179041643317,5.70087712549569
2021,D.I. Yogyakarta,KULON PROGO,30.503508,11133.47907,586.27,443283.0,12599819.55,0.367,74.71,Ban,2019,2,1.4764178550694007,7.100364325355623,-0.4353339357479107,24.213013030186886
2021,D.I. Yogyakarta,SLEMAN,103.0165785,37600.8466795,574.82,1136474.0,49397607.49,0.425,84.0,Ban,2019,2,-15.881994713789249,7.693705914934718,-0.37161106994968846,23.97540406333124
2021,D.I. Yogyakarta,KOTA YOGYAKARTA,35.32646,12894.232351,32.5,376324.0,38540649.0,0.464,87.18,Ban,2019,2,-9.254794202655548,7.585919023623679,-0.3334820194451191,5.70087712549569
2022,D.I. Yogyakarta,KULON PROGO,30.537948,11146.628262,586.27,451342.0,14303541.52,0.38,75.46,Ban,2019,3,0.11810496896187406,7.15544358097329,-0.42021640338318983,24.213013030186886
2022,D.I. Yogyakarta,GUNUNGKIDUL,91.1651355,33275.3806515,1485.36,770883.0,22742949.76,0.316,70.96,Ban,2019,3,44.85046944134841,7.356846791988054,-0.5003129173815962,38.54036844660414
2022,D.I. Yogyakarta,KOTA YOGYAKARTA,94.121865,34354.5273,32.5,378913.0,42628181.76,0.519,87.69,Ban,2019,3,166.433288658209,7.62969680887422,-0.28483264215154214,5.70087712549569
2019,DKI Jakarta,ADM. KEP. SERIBU,0.15309,55.89108,10.18,24295.0,7926263.5,0.28,71.4,None,2019,0,,6.899068505885352,-0.5528419686577808,3.1906112267087634
2019,DKI Jakarta,KOTA ADM. JAKARTA UTARA,11.94804,4361.049180000001,139.99,1812915.0,522378823.6,0.355,80.17,Fee,2020,-1,,8.71798556302185,-0.44977164694490596,11.831736981525578
2019,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,17.14167,6256.710360000001,154.32,2264699.0,642464231.9,0.443,84.75,Fee,2020,-1,,8.80784895407203,-0.3535962737769304,12.422560122615627
2019,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,20.28294,7403.266710000001,182.7,2937859.0,488499494.7,0.376,82.69,Fee,2020,-1,,8.68886411882426,-0.42481215507233894,13.516656391282572
2020,DKI Jakarta,ADM. KEP. SERIBU,0.15606,56.96316,10.18,27749.0,6416485.68,0.306,71.63,Ban,2020,0,1.918159391444929,6.807297229366027,-0.51427857351842,3.1906112267087634
2020,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,16.345719,5966.210461499999,52.38,1056896.0,700790711.0,0.39,81.39,Ban,2020,0,,8.845588336612966,-0.4089353929735008,7.237402849088891
2020,DKI Jakarta,KOTA ADM. JAKARTA UTARA,25.949124,9471.4579305,139.99,1778981.0,496669687.6,0.413,80.29,Ban,2020,0,117.18301123354907,8.696067655244331,-0.384049948343599,11.831736981525578
2020,DKI Jakarta,KOTA ADM. JAKARTA BARAT,58.567509,21377.1096,124.44,2434511.0,469053301.5,0.38,81.38,Ban,2020,0,,8.671222197154357,-0.42021640338318983,11.155267813907473
2020,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,37.17135,13567.5355905,154.32,2226812.0,643561851.9,0.427,84.72,Ban,2020,0,116.84774921401346,8.808590292729125,-0.36957212497497616,12.422560122615627
2020,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,43.9873875,16055.4308805,182.7,3037139.0,469995030.7,0.363,82.66,Ban,2020,0,116.86954569410615,8.672093266125126,-0.4400933749638875,13.516656391282572
2021,DKI Jakarta,ADM. KEP. SERIBU,1.434818625,523.5605932499999,10.18,28240.0,8154516.93,0.245,72.1,Ban,2020,1,819.1213992517268,6.911398238724018,-0.6108339156354675,3.1906112267087634
2021,DKI Jakarta,KOTA ADM. JAKARTA PUSAT,69.0040269375,25186.537420125,52.38,1066460.0,728074607.5,0.397,81.56,Ban,2020,1,322.15301626809713,8.862175884759969,-0.40120949323688493,7.237402849088891
2021,DKI Jakarta,KOTA ADM. JAKARTA UTARA,110.3124714375,40264.077318375,139.99,1784753.0,536002760.3,0.515,80.51,Ban,2020,1,325.1096041794851,8.729167026222568,-0.28819277095880896,11.831736981525578
2021,DKI Jakarta,KOTA ADM. JAKARTA BARAT,162.6597361875,59370.9225980625,124.44,2440073.0,493802942.5,0.366,81.76,Ban,2020,1,177.73129159642096,8.693553673501352,-0.43651891460558934,11.155267813907473
2021,DKI Jakarta,KOTA ADM. JAKARTA SELATAN,157.776304125,57588.28993218749,154.32,2233855.0,668427460.1,0.383,84.9,Ban,2020,1,324.45652379575006,8.825054283119819,-0.41680122603137726,12.422560122615627
2021,DKI Jakarta,KOTA ADM. JAKARTA TIMUR,186.7251135,68154.81056081249,182.7,3056300.0,500421580.7,0.374,82.97,Ban,2020,1,324.4969261061027,8.699336030391548,-0.42712839779951983,13.516656391282572
2022,DKI Jakarta,ADM. KEP. SERIBU,3.431302,1252.661144,10.18,28925.0,10134628.69,0.211,72.79,Ban,2020,2,139.25810310209022,7.005807841747518,-0.6757175447023074,3.1906112267087634
