Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
BARITO TIMUR,2017,118854.0,3834.0,0.307,70.57,6323809.97
MURUNG RAYA,2017,118500.0,237.0,0.303,67.16,6831135.71
KOTA PALANGKA RAYA,2017,275942.0,2399.5,0.379,79.69,14532145.67
KALIMANTAN SELATAN,2017,4119794.0,38744.23,0.347,69.65,
TANAH LAUT,2017,334328.0,3631.35,0.259,68.0,12329412.41
KOTABARU,2017,331326.0,9482.73,0.326,67.79,
BANJAR,2017,571573.0,4668.0,0.348,67.77,14411981.69
BARITO KUALA,2017,306195.0,2996.46,0.308,64.93,7444774.66
TAPIN,2017,186672.0,2700.82,0.331,68.7,7430807.64
HULU SUNGAI SELATAN,2017,232587.0,1804.94,0.336,67.8,5655334.31
HULU SUNGAI TENGAH,2017,266501.0,1472.0,0.302,67.78,6109980.6
HULU SUNGAI UTARA,2017,231594.0,892.7,0.309,64.21,4190377.35
TABALONG,2017,247106.0,3766.97,0.328,70.76,16211699.57
TANAH BUMBU,2017,343193.0,5006.96,0.295,69.12,17861272.06
BALANGAN,2017,127503.0,1878.3,0.411,67.25,10061817.36
KOTA BANJARMASIN,2017,692793.0,72.0,0.333,76.46,27838797.46
KOTA BANJAR BARU,2017,248423.0,371.0,0.365,78.32,7932470.34
KALIMANTAN TIMUR,2017,4159696.0,148137.31,0.33,75.12,
PASER,2017,191030.0,7730.88,0.277,71.16,43954254.84
KUTAI BARAT,2017,218523.0,20384.6,0.269,70.18,25787193.5
KUTAI KARTANEGARA,2017,788994.0,27263.1,0.299,72.75,149220000.0
