Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
LUMAJANG,2017,1790.9,1036823.0,28632849.08,0.31,64.23
JEMBER,2017,3092.34,2430185.0,67389720.71,0.34,64.96
BANYUWANGI,2017,3593.06,1604897.0,72130211.49,0.34,69.64
BONDOWOSO,2017,1525.97,768912.0,17126689.64,0.32,64.75
SITUBONDO,2017,1669.87,676703.0,17475016.03,0.33,65.68
PROBOLINGGO,2017,1696.21,1155214.0,29961627.15,0.36,64.28
PASURUAN,2017,1474.02,1605307.0,124879824.9,0.34,66.69
SIDOARJO,2017,634.38,2183682.0,174180087.6,0.34,78.7
MOJOKERTO,2017,717.83,1099504.0,70763170.44,0.32,72.36
JOMBANG,2017,1115.09,1253078.0,34819819.9,0.34,70.88
NGANJUK,2017,1224.25,1048799.0,22799234.53,0.33,70.69
MADIUN,2017,1037.58,679888.0,16374841.49,0.32,70.27
MAGETAN,2017,688.84,628609.0,16293369.22,0.39,72.6
NGAWI,2017,1295.98,829899.0,17710412.32,0.34,69.27
BOJONEGORO,2017,2198.79,1243906.0,64866179.79,0.29,67.28
TUBAN,2017,1834.15,1163614.0,56401066.51,0.31,66.77
LAMONGAN,2017,1782.05,1188478.0,34270505.03,0.32,71.11
GRESIK,2017,1191.25,1285018.0,118519230.8,0.29,74.84
BANGKALAN,2017,1001.44,970894.0,21654591.44,0.3,62.3
SAMPANG,2017,1233.08,958082.0,17619499.54,0.29,59.9
PAMEKASAN,2017,792.24,863004.0,14620575.97,0.33,64.93
SUMENEP,2017,1998.54,1081204.0,30546237.92,0.24,64.28
KOTA KEDIRI,2017,63.4,284002.0,115650217.2,0.4,77.13
KOTA BLITAR,2017,32.57,139995.0,5782364.14,0.39,77.1
KOTA MALANG,2017,145.28,861414.0,62089303.68,0.42,80.65
KOTA PROBOLINGGO,2017,56.67,233123.0,9660035.06,0.37,72.09
KOTA PASURUAN,2017,35.29,197696.0,7105188.52,0.38,74.39
KOTA MOJOKERTO,2017,16.47,127279.0,5828234.68,0.39,76.77
KOTA MADIUN,2017,33.29,176099.0,12111900.47,0.36,80.13
KOTA SURABAYA,2017,350.54,2874699.0,493026304.5,0.39,81.07
KOTA BATU,2017,136.74,203997.0,14241465.52,0.3,74.26
PANDEGLANG,2017,2746.89,1205203.0,24182302.52,0.279,63.82
LEBAK,2017,3426.56,1288103.0,24485545.31,0.268,62.95
TANGERANG,2017,1011.86,3584770.0,118994083.8,0.329,70.97
SERANG,2017,1734.28,1493591.0,65905439.09,0.285,65.6
KOTA TANGERANG,2017,153.93,2139891.0,149005544.8,0.343,77.01
KOTA CILEGON,2017,175.5,425103.0,88871488.8,0.341,72.29
KOTA SERANG,2017,266.71,666600.0,26452445.43,0.358,71.31
KOTA TANGERANG SELATAN,2017,147.19,1644899.0,67980904.38,0.361,80.84
