Province/Regency/City,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,,,,,,,,
Murung Raya,118500,118500,118500,111527,112445,113483,,,,,,,,
Kota Palangka Raya,275942,283141,292739,293457,298954,305907,,,,,,,,
KALIMANTAN SELATAN,4119794,4182695,4244096,4073584,4122576,4182080,,,,,,,,
Tanah Laut,334328,339195,343890,348966,354340,361044,,,,,,,,
Kotabaru,331326,336719,342217,325622,329483,334158,,,,,,,,
Banjar,571573,580026,588066,565635,572109,579910,,,,,,,,
Barito Kuala,306195,310016,313595,313021,316963,321769,,,,,,,,
Tapin,186672,189081,191372,189475,191801,194628,,,,,,,,
Hulu Sungai Selatan,232587,235217,237702,228006,229960,232212,,,,,,,,
Hulu Sungai Tengah,266501,269384,272419,258721,260754,263061,,,,,,,,
Hulu Sungai Utara,231594,234604,237573,226727,228831,231290,,,,,,,,
Tabalong,247106,250809,254322,253305,256903,261353,,,,,,,,
Tanah Bumbu,343193,351673,360187,322646,328146,335079,,,,,,,,
Balangan,127503,129505,131428,130355,132213,134512,,,,,,,,
Kota Banjarmasin,692793,700869,708606,657663,662320,667489,,,,,,,,
Kota Banjar Baru,248423,255597,262719,253442,258753,265575,,,,,,,,
KALIMANTAN TIMUR,4159696,4244134,4328572,3766039,3808235,3859783,,,,,,,,
Paser,191030,195050,199147,275452,277602,280065,,,,,,,,
Kutai Barat,218523,219542,220154,172288,173982,175998,,,,,,,,
Kutai Kartanegara,788994,806988,824709,729382,733626,738189,,,,,,,,
Kutai Timur,400015,416458,432902,434459,449161,468820,,,,,,,,
Berau,375168,385148,395128,248035,252648,258537,,,,,,,,
Penajam Paser Utara,179785,181685,183452,178681,180657,183043,,,,,,,,
Mahakam Ulu,20675,20675,20828,32513,32969,33535,,,,,,,,
