Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Bantul,20913085.87,22611706.74,24450119.35,26310972.65,26137015.43,28123173.73,31197825.1
Gunung Kidul,14980280.92,16199841.88,17527715.77,18844736.16,18936171.51,20427097.24,22742949.76
Sleman,36932843.19,40047863.6,43779043.69,47467978.09,45654719.61,49397607.49,54656658.04
Kota Yogyakarta,28895413.05,31309045.23,33787580.59,36492640.29,35724046.2,38540649,42628181.76
Pacitan,12767107.16,13775322.27,14968406.92,15961908.38,15785198.22,16381242.92,17986467.59
Ponorogo,16419185.21,17690420.18,19174225.22,20483747.99,20513377.29,21350008.03,23028248.81
Trenggalek,14915815.54,16081654.54,17354536.72,18553191.68,18314461.26,19198246.56,20882311.9
Tulungagung,31126134.19,33640178,36496034.11,39215494.09,38225985.76,40166674.57,44133475.7
Blitar,29335080.94,31574359.64,34117382.48,36447136.4,36023963.44,37819725.54,41379309.56
Kediri,33211388.47,35789536.58,38588231.96,41183683.13,40626769.97,42692711.18,46665030.99
Malang,81784426.73,88979167.77,96827576.78,103744108.3,102027831.6,107036381.2,117457030.3
Lumajang,26651841.83,28632849.08,30690435.08,32620951.1,32062005.43,33678623.82,36663727.61
Jember,62512680.47,67389720.71,72012095.82,77225705.69,76039982.77,81068836.11,88075446.11
Banyuwangi,66345968.12,72130211.49,77842238.51,83595729.11,81102879.31,85918574.83,93298945.07
Bondowoso,15862629.59,17126689.64,18494809.78,19854048.49,19935592.83,21052227.04,22901855.26
Situbondo,16280756.23,17475016.03,18857949.19,20210136.3,20041854.99,21200850.96,23128644.08
Probolinggo,28067417.49,29961627.15,32012209.36,34013658.49,33721074.7,35605523.95,38932779.06
Pasuruan,114882794.1,124879824.9,135865997.3,145875790.9,145592018.2,157150726.2,172654172.2
Sidoarjo,160020653.4,174180087.6,189256005.5,204201621.6,197240690.8,210650178.1,245222460.6
Mojokerto,65115825.4,70763170.44,76678340.3,82387909.08,81940857.92,87145023.17,95738109.45
Jombang,31982916.4,34819819.9,37880234.58,40452477.72,39870881.37,41747215.67,45930422.31
Nganjuk,21113913.82,22799234.53,24782292.72,26651116.15,26601161.82,28053330.72,30819748.28
Madiun,15226950.78,16374841.49,17636096.67,18931550.75,19166561.45,20024414.05,21879380.17
Magetan,15196416.51,16293369.22,17623924.55,18850232.7,18771762.65,19587872.44,21194741.15
Ngawi,16529645.44,17710412.32,19140125.79,20432646.96,20270971.9,20814462.59,22454952.86
Bojonegoro,55581366.82,64866179.79,73228592.69,78046325.64,70258513.15,84200914.33,100492890.2
Tuban,52307042.65,56401066.51,60739045.79,64992760.39,62323068.16,65911734.22,75187654.03
Lamongan,31707259.2,34270505.03,37224236.78,39725484.59,39169585.94,41042888.64,45441047.25
Gresik,107876584.7,118519230.8,130229387.3,138893603.7,134268558.4,144656069.9,163907912.3
Bangkalan,20134399.74,21654591.44,23846656.1,24664205.21,23290005.86,24756707.15,27164196.77
Sampang,16244981.29,17619499.54,19105375.54,19788732.21,19842573.38,20638846.36,23009313.55
Pamekasan,13528033.51,14620575.97,15912846.04,17028502.84,16793846.98,17659220.99,19263350.51
Sumenep,28970738.52,30546237.92,32703554.24,33298636.46,32750242.14,35300157.05,40255322.85
